ac,series,hzname,top,bottom
4713,SREDNIC,Bkqm2,69,76
4713,SREDNIC,Bkqm1,64,69
4705,CONE,O1,5,0
4705,KEHOE,C2r,97,122
4705,KEHOE,A13,58,86
4693,TERRABELLA,O,3,4
4692,MCGARVEY,0i,10,8
4692,MCGARVEY,0e,8,0
4690,SHERVAL,Oi,3,4
4636,STEEPSHRUB,Oe,0,1
4594,DUCKHILL,Blt,8,15
4594,DUCKHILL,0l,1,2
4574,WITTENBERG,O1,10,11
4571,SUEREDO,Oi,0,5
4571,SUEREDO,Oe,5,13
4521,MENDOCINO,B3,104,152
4521,MENDOCINO,O1,5,0
4521,MENDOCINO,B22t,76,104
4508,COOLBRITH,B31,66,89
4508,COOLBRITH,B32,89,109
4508,COOLBRITH,B22t,43,66
4508,COOLBRITH,B21t,25,43
4508,COOLBRITH,Ap2,10,25
4493,HALVERT,Bqkm,69,81
4460,VIGNOLO,Bqkm,76,84
4455,SHINGLEMILL,Oi,5,6
4426,COOMBS,IIC,137,147
4413,WHISPERING,01,3,4
4405,HULUA,01,3,4
4404,REDBONE,Oe,3,3
4404,REDBONE,Oi,0,3
4336,TONGVA,Oe,0,5
4331,FANTAIL,Oi,0,5
4315,TRETTEN,O1,1,0
4315,TRETTEN,A12,13,33
4309,CAMPFOUR,O,3,4
4309,WEAVERVILLE,Oi,3,0
4277,CUPPY,2Bqm,74,79
4251,RACE,O1,4,0
4241,MOJO,0,5,0
4233,AHOY,Oe,3,10
4233,AHOY,Oi,0,3
4233,AHOY,3Bss,84,119
4201,KNAPKE,0i,3,4
4191,TUSCCOLL,Oi,0,3
4191,TUSCCOLL,Oe,3,5
4174,FOOTPATH,Oi,0,3
4164,BOTTLEHILL,Oi,0,1
4164,BOTTLEHILL,Oe,1,4
4143,TAMFLAT,0,3,4
4130,TOSSUP,Oi,0,2
4120,SUEY,O,3,4
4118,KULALIO,A2,8,18
4118,KULALIO,A1,0,8
4118,KULALIO,Bw2/2C2,27,41
4093,BEARRUBBLE,Oi,0,8
4070,LOEB,Oi,0,5
4070,TAHAND,Oi,3,4
4063,BIGRIDGE,Oe,0,3
4052,LUMBERLY,0,3,0
4048,GRIFFGULCH,Oi,0,5
4048,GRIFFGULCH,Oe,5,8
4036,REDVINE,ABt,8,20
4035,DANHUNT,Oi,8,0
3980,WOODSPRING,Oi,0,1
3915,MCGINNIS,0,1,2
3877,POPPELLEN,Oi,0,1
3832,TAHOE,Oe,0,8
3813,NELLSPRING,Bqkm1,89,104
3813,NELLSPRING,Bqkm2,104,150
3798,MINDEGO,A1,0,5
3798,MINDEGO,Dr,117,118
3786,ROZARA,Oi,0,2
3782,STARBOARD,Oe,3,10
