"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"Bt",56,216,"10YR",6,3,"7.5YR",4,4,"Spinks",11
"C",216,267,"10YR",5,4,"",,,"Spinks",11
"Ap",0,20,"10YR",4,3,"10YR",6,2,"Alvin",11
"BE",20,28,"10YR",4,4,"10YR",5,2,"Alvin",11
"Bt1",28,38,"10YR",4,4,"10YR",4,3,"Alvin",11
"Bt2",38,64,"10YR",4,4,"10YR",4,3,"Alvin",11
"E",61,188,"10YR",5,4,"10YR",4,6,"Alvin",11
"C",188,203,"10YR",4,3,"10YR",5,6,"Alvin",11
"Ap",0,23,"10YR",3,1,"10YR",4,2,"Brooklyn",11
"Eg",23,36,"2.5Y",6,1,"10YR",3,1,"Brooklyn",11
"Btg1",36,51,"2.5Y",6,2,"10YR",4,1,"Brooklyn",11
"Btg2",51,79,"2.5Y",6,1,"",,,"Brooklyn",11
"Btg3",79,102,"2.5Y",6,1,"2.5Y",4,1,"Brooklyn",11
"2Bgt4",102,117,"2.5Y",5,1,"2.5Y",4,1,"Brooklyn",11
"2Bt",117,132,"7.5YR",4,6,"2.5Y",5,1,"Brooklyn",11
"2BCt",132,157,"10YR",5,6,"2.5Y",6,1,"Brooklyn",11
"2C",157,185,"10YR",5,6,"2.5Y",5,1,"Brooklyn",11
"3Cd",185,203,"2.5Y",5,4,"2.5Y",6,2,"Brooklyn",11
"A",0,10,"10YR",4,2,"10YR",6,3,"Hickory",11
"E",10,30,"10YR",6,4,"10YR",7,4,"Hickory",11
"Bt1",30,43,"10YR",5,6,"10YR",4,3,"Hickory",11
"Bt2",43,66,"10YR",4,6,"10YR",5,3,"Hickory",11
"Bt3",66,89,"10YR",5,4,"10YR",4,4,"Hickory",11
"Bt4",89,117,"10YR",5,4,"10YR",4,4,"Hickory",11
"BCt",117,147,"10YR",6,4,"10YR",4,4,"Hickory",11
"CB",147,165,"10YR",5,6,"10YR",4,3,"Hickory",11
"C",165,203,"10YR",5,4,"7.5YR",5,6,"Hickory",11
"Ap",0,20,"10YR",4,2,"10YR",6,2,"Riddles",11
"Bt1",20,33,"7.5YR",4,3,"10YR",4,3,"Riddles",11
"Bt2",33,51,"10YR",4,3,"10YR",4,2,"Riddles",11
"Bt3",51,84,"10YR",4,4,"10YR",4,3,"Riddles",11
"Bt4",84,117,"10YR",4,4,"10YR",4,3,"Riddles",11
"Bt5",117,140,"10YR",4,4,"10YR",4,3,"Riddles",11
"Bt6",140,160,"10YR",4,4,"10YR",4,3,"Riddles",11
"2Bt1",160,178,"10YR",4,3,"10YR",4,3,"Riddles",11
"2Bt2",178,198,"10YR",5,4,"10YR",4,3,"Riddles",11
"2B",198,229,"10YR",4,4,"1-YR",6,4,"Riddles",11
"3Cd",229,254,"10YR",5,4,"",,,"Riddles",11
"Ap",0,8,"2.5Y",3,2,"",,,"Coalvale",11
"C1",8,86,"2.5Y",3,2,"10YR",4,3,"Coalvale",11
"C2",86,117,"10YR",4,4,"10YR",4,1,"Coalvale",11
"C3",117,185,"2.5Y",5,2,"10YR",4,4,"Coalvale",11
"Ap",0,20,"10YR",3,1,"10YR",5,1,"Denny",11
"Eg1",20,36,"10YR",4,2,"10YR",6,2,"Denny",11
"Eg2",36,53,"10YR",5,2,"10YR",7,2,"Denny",11
"Btg1",53,74,"10YR",5,2,"10YR",4,2,"Denny",11
"Btg2",74,97,"10YR",5,2,"1-YR",4,2,"Denny",11
"Btg3",97,117,"2.5Y",6,2,"10YR",4,2,"Denny",11
"Cg",117,152,"2.5Y",6,2,"10YR",3,1,"Denny",11
"Ap",0,25,"10YR",3,3,"10YR",6,2,"Feldhauser",12
"Bw1",25,46,"10YR",4,4,"",,,"Feldhauser",12
"Bw2",46,53,"10YR",5,4,"",,,"Feldhauser",12
"B",53,76,"10YR",4,4,"10YR",5,3,"Feldhauser",12
"Bt",76,99,"10YR",4,4,"7.5YR",4,6,"Feldhauser",12
"2E",99,137,"10YR",6,4,"10YR",6,2,"Feldhauser",12
"2C",137,203,"10YR",5,4,"",,,"Feldhauser",12
"Ap",0,20,"10YR",4,2,"",,,"Galen",12
"Bw1",20,30,"10YR",5,4,"7.5YR",5,4,"Galen",12
"Bw2",30,41,"10YR",6,4,"7.5YR",5,4,"Galen",12
"Bt1",41,71,"10YR",5,3,"10YR",4,3,"Galen",12
"Bt2",71,137,"10YR",5,3,"7.5YR",4,4,"Galen",12
"C",137,178,"10YR",6,3,"10YR",5,6,"Galen",12
"A",0,15,"7.5YR",3,4,"7.5YR",4,2,"Mollineaux",12
"E",15,23,"7.5YR",4,2,"7.5YR",5,3,"Mollineaux",12
"Bs1",23,38,"7.5YR",4,4,"",,,"Mollineaux",12
"Bs2",38,69,"10YR",4,6,"",,,"Mollineaux",12
"Bt",69,97,"7.5YR",6,3,"7.5YR",4,6,"Mollineaux",12
"B",97,163,"5YR",4,3,"7.5YR",6,2,"Mollineaux",12
"Bt2",163,203,"10YR",6,4,"10YR",4,6,"Mollineaux",12
"Oe",0,3,"7.5YR",3,2,"",,,"Lindquist",12
"A",3,5,"10YR",5,1,"",,,"Lindquist",12
"E",5,13,"7.5YR",5,2,"10YR",7,2,"Lindquist",12
"Bs1",13,33,"7.5YR",4,4,"",,,"Lindquist",12
"Bs2",33,56,"7.5YR",4,6,"",,,"Lindquist",12
"Bs3",56,86,"7.5YR",5,6,"",,,"Lindquist",12
"E",86,99,"10YR",6,4,"10YR",7,4,"Lindquist",12
"Bt",99,196,"10YR",6,4,"10YR",7,4,"Lindquist",12
"C",196,203,"10YR",6,3,"",,,"Lindquist",12
"Ap",0,18,"10YR",4,2,"10YR",6,2,"Montcalm",12
"E",18,23,"10YR",7,2,"10YR",6,2,"Montcalm",12
"Bs",23,38,"7.5YR",4,4,"",,,"Montcalm",12
"E",38,66,"10YR",6,2,"10YR",5,2,"Montcalm",12
"Bt1",66,84,"5YR",4,4,"",,,"Montcalm",12
"Bt2",84,152,"10YR",6,2,"10YR",5,2,"Montcalm",12
"C",152,168,"10YR",6,3,"",,,"Montcalm",12
"Oe",0,3,"10YR",2,1,"",,,"Leicester",12
"A",3,18,"10YR",2,1,"",,,"Leicester",12
"Bg1",18,25,"2.5Y",5,2,"5YR",5,6,"Leicester",12
"Bg2",25,46,"2.5Y",6,2,"10YR",5,6,"Leicester",12
"BC",46,58,"10YR",6,3,"10YR",5,6,"Leicester",12
"C1",58,107,"10YR",4,4,"10YR",5,6,"Leicester",12
"C2",107,165,"10YR",4,4,"10YR",5,6,"Leicester",12
"A",0,5,"5Y",5,2,"5YR",6,2,"Machias",12
"B2",5,15,"5YR",4,4,"7.5YR",5,6,"Machias",12
"Bg",5,51,"10YR",4,4,"10YR",5,6,"Machias",12
"D",51,51,"10YR",3,2,"10YR",4,2,"Machias",12
"A",0,8,"10YR",2,1,"10YR",4,1,"Tacoda",12
"E",8,38,"10YR",7,2,"10YR",8,2,"Tacoda",12
"Bs",38,58,"7.5YR",3,4,"5YR",4,6,"Tacoda",12
"Bw",58,89,"10YR",7,4,"10YR",6,4,"Tacoda",12
"BC",89,114,"1-YR",4,3,"10YR",5,6,"Tacoda",12
"2C1",114,152,"7.5YR",4,2,"",,,"Tacoda",12
"2C2",152,203,"7.5YR",5,2,"",,,"Tacoda",12
"Ap",0,20,"10YR",3,2,"",,,"Coral",12
"E",20,30,"10YR",6,3,"",,,"Coral",12
"Bs",30,56,"7.5YR",4,4,"10YR",5,6,"Coral",12
"E2",56,69,"10YR",6,3,"10YR",5,6,"Coral",12
"Bt",69,122,"10YR",5,3,"10YR",5,6,"Coral",12
"C",122,152,"10YR",5,2,"10YR",5,6,"Coral",12
"Ap",0,20,"10YR",4,2,"10YR",6,2,"Colonie",12
"E1",20,41,"10YR",5,4,"",,,"Colonie",12
"E2",41,71,"10YR",5,4,"",,,"Colonie",12
"Bt1",71,112,"10YR",5,3,"7.5YR",4,4,"Colonie",12
"Bt2",112,160,"7.5YR",5,2,"7.5YR",5,3,"Colonie",12
"C",160,203,"7.5YR",5,2,"7.5YR",5,6,"Colonie",12
"A",0,8,"10YR",3,1,"10YR",6,1,"Hasbrouk",12
"Eg",8,25,"10YR",5,2,"10YR",4,1,"Hasbrouk",12
"BEg",25,36,"7.5YR",6,2,"10YR",5,4,"Hasbrouk",12
"Btg",36,61,"5YR",6,1,"7.5YR",6,6,"Hasbrouk",12
"Bx1",61,107,"5YR",4,4,"7.5YR",5,6,"Hasbrouk",12
"C",107,183,"5YR",4,4,"",,,"Hasbrouk",12
"Ap",,23,"7.5YR",4,2,"",,,"Arkport",12
"BE1",23,38,"7.5YR",5,4,"",,,"Arkport",12
"BE2",38,71,"7.5YR",5,4,"7.5YR",5,2,"Arkport",12
"Bt1",71,114,"5YR",6,3,"5YR",5,4,"Arkport",12
"Bt2",114,147,"5YR",6,3,"5YR",4,4,"Arkport",12
"Bt3",147,234,"5YR",6,2,"5YR",3,4,"Arkport",12
"C",234,269,"5YR",6,2,"",,,"Arkport",12
"Ap",0,18,"10YR",,2,"10YR",6,3,"Nehasne",12
"Bw1",18,46,"10YR",4,4,"",,,"Nehasne",12
"Bw2",46,58,"10YR",4,3,"5YR",4,4,"Nehasne",12
"BC",58,64,"10YR",4,3,"5YR",4,4,"Nehasne",12
"R",64,64,"",,,"",,,"Nehasne",12
"A",0,5,"10YR",2,1,"10YR",4,2,"Klacking",12
"Bw1",5,30,"10YR",5,8,"",,,"Klacking",12
"Bw2",30,61,"10YR",4,6,"",,,"Klacking",12
"Bw3",61,86,"10YR",5,6,"",,,"Klacking",12
"Bt",86,112,"10YR",5,4,"7.5YR",4,6,"Klacking",12
"E",112,203,"7.5YR",4,6,"10YR",6,4,"Klacking",12
"A",0,10,"10YR",3,1,"10YR",6,1,"Deibert",12
"E",10,20,"10YR",5,3,"10YR",7,1,"Deibert",12
"B",20,38,"5YR",4,3,"10YR",3,3,"Deibert",12
"Bt",38,66,"5YR",4,3,"10YR",3,3,"Deibert",12
"C",66,94,"7.5YR",5,4,"",,,"Deibert",12
"2E",94,173,"10YR",5,3,"7.5YR",4,4,"Deibert",12
"3C",173,203,"10YR",6,4,"",,,"Deibert",12
"Oe",0,5,"5YR",2,2,"",,,"Enchanted",12
"Oa",5,15,"2.5YR",6,2,"",,,"Enchanted",12
"E",15,23,"7.5YR",6,2,"",,,"Enchanted",12
"Bhs",23,25,"2.5YR",2,2,"",,,"Enchanted",12
"Bs1",25,36,"2.5YR",3,4,"",,,"Enchanted",12
"Bs2",36,53,"5YR",4,6,"",,,"Enchanted",12
"Bs3",53,79,"10YR",4,4,"",,,"Enchanted",12
"BC",79,107,"2.5Y",4,4,"",,,"Enchanted",12
"C",107,132,"2.5Y",4,2,"",,,"Enchanted",12
"R",132,132,"",,,"",,,"Enchanted",12
"Ap",0,20,"10YR",3,2,"10YR",5,2,"Enosburg",12
"Cg1",20,41,"5Y",5,2,"2.5YR",3,4,"Enosburg",12
"Cg2",41,81,"10YR",5,2,"7.5YR",4,4,"Enosburg",12
"2Cg3",81,165,"2.5Y ",5,4,"",,,"Enosburg",12
"Op",0,23,"10YR",2,1,"",,,"Pavilion",12
"Oa",23,33,"10YR",3,2,"",,,"Pavilion",12
"2Cg1",33,109,"10YR",4,2,"10YR",5,6,"Pavilion",12
"2Cg2",109,137,"10YR",4,2,"10YR",4,4,"Pavilion",12
"2Cg3",137,183,"2.5Y",4,1,"",,,"Pavilion",12
