series,tp,bn,cs,gs
ELBUCK,0,0,1,0
ELD,0,0,1,1
ELDERON,0,0,0,1
ELFLINT,0,0,0,1
ELISPRING,0,0,1,0
ELKPEAK,0,0,1,0
ELKROCK,0,0,0,1
ELLISTON,0,0,0,1
ELMA,0,0,0,1
ELMARK,0,0,0,1
ELMENWOOD,0,1,0,0
ELMIRA,0,0,1,0
ELSALADO,0,0,0,1
ELSINBORO,0,0,1,1
ELVE,0,0,1,0
FAIRWAY,0,0,1,0
FALLSINGTON,0,0,1,1
EMDENT,0,0,0,1
EMYD,0,0,0,1
ENDLICH,0,0,1,0
ENERGY,0,0,0,1
ENOTT,0,0,0,1
ENTENTE,0,0,0,1
EPSIE,0,0,0,1
EREMIS,0,0,1,0
ERNEM,0,0,0,1
ERNEST,0,0,1,1
ERVIDE,0,0,1,1
ESKA,0,0,0,1
ESTELLE,0,0,0,1
ESTESLAKE,0,0,0,1
FORELAND,0,0,0,1
ETHRIDGE,0,0,1,1
ETTA,0,0,1,0
ETTIENRIDGE,0,1,0,0
EULONIA,0,0,0,1
EVARD,0,0,1,1
EVARO,0,0,1,0
EWAN,0,0,0,1
EYERBOW,0,0,0,1
FAIRBIRCH,0,0,1,0
FELDTMANN,0,0,0,1
FAIRFIELD,0,0,1,0
FAIRLESS,0,0,0,1
FAIRPOINT,0,0,1,1
FAIRSMITH,0,0,1,0
FAIRVIEW,0,0,1,1
FAIRYSTONE,0,0,0,1
FAITH,0,0,0,1
FINGAL,0,0,0,1
FALSEBOTTOM,0,0,0,1
FARFELD,0,0,1,0
FARNUF,0,0,1,0
FARRAR,0,0,1,0
FARSIDE,0,0,0,1
FATTIG,0,0,0,1
FEDSCREEK,0,0,1,1
FEEDER,0,0,0,1
FELAN,0,0,1,1
FENTON,0,0,1,0
FERBALL,0,0,1,0
FERD,0,0,0,1
FERGUS,0,0,0,1
FERNLINE,0,0,0,1
FERNVIEW,0,0,0,1
FESSLER,0,0,0,1
FIFER,0,0,0,1
FIGARO,0,0,0,1
FIGGS,0,0,0,1
FILIORUM,0,0,1,1
FINN,0,0,1,0
FINNERTY,0,0,0,1
FIRADA,0,0,1,0
FIRETOWER,0,0,0,1
FIRTH,0,0,0,1
FIVEBEAVER,0,0,1,1
GALLATIN,0,0,1,1
FLASKAN,0,1,0,0
FLAT HORN,0,0,0,1
FLATCREEK,0,0,0,1
FLATTOP,0,0,0,1
GALLOWAY,0,0,1,1
FLEECER,0,0,0,1
FLETT,0,0,1,1
FLIMFLAM,0,0,1,1
FLOREY,0,0,1,0
FLOTT,0,0,1,1
FLOUNDER,0,0,0,1
FOOLHEN,0,0,1,0
FORGEN,0,0,1,0
FORMATION,0,0,0,1
FORSHEY,0,0,1,0
FORT MOTT,0,0,1,1
FORTBENTON,0,0,0,1
FORTLOGAN,0,0,1,0
FOSSILBUTTE,0,0,1,0
FOURMOUND,0,0,1,1
FOXGULCH,0,0,0,1
FOXHILL,0,0,1,0
FRAILEY,0,0,0,1
FRANCONI,0,0,0,1
FRAZER,0,0,0,1
GERBANA,0,0,1,1
FREEMAN,0,0,0,1
FRENCHCREEK,0,0,1,0
FRISITE,0,0,0,1
FRIZZELCREEK,0,0,0,1
FROGHEAVEN,0,0,1,1
FROLIC,0,0,0,1
FRUITA,0,0,1,0
FRUITCREEK,0,0,0,1
FULLERTON,0,0,1,1
GALATA,0,0,0,1
GALBRETH,0,0,0,1
GALESTOWN,0,0,1,1
GAPO,0,0,0,1
GAPPMAYER,0,0,0,1
GARDENCREEK,0,0,0,1
GERDRUM,0,0,1,1
GAREY,0,0,0,1
GIBBS,0,0,1,1
GARLET,0,0,1,0
GARRETT,0,0,0,1
GLENTON,0,0,0,1
GATE,0,0,0,1
GATEWAY,0,0,1,0
GAVERS,0,0,1,1
GEERTSEN,0,0,0,1
GOESSEL,0,0,1,1
GERBER,0,0,1,1
GERMANIA,0,0,0,1
GEROW,0,0,0,1
GERTIE,0,0,1,1
GILLUM,0,0,0,1
GILISPIE,0,0,1,1
GILLETT GROVE,0,0,1,1
GILMORE,0,0,0,1
GILPIN,0,0,1,1
GILT EDGE,0,0,0,1
GINI,0,0,1,1
GIRD,0,0,1,1
GLACIERCREEK,0,0,0,1
GLACIERISLAND,0,0,1,1
GLADE,0,0,1,1
GLANN,0,0,1,0
GLASSBORO,0,0,1,1
GOBLINTOWN,0,0,0,1
HAMBROOK,0,0,1,1
GOLDCORD,0,0,0,1
GOLDENLAKES,0,0,1,1
GOLDFLINT,0,0,0,1
GOLDLAKE,0,0,0,1
GOLDMIRE,0,0,0,1
GOLDSBORO,0,0,0,1
GOODVIEW,0,0,0,1
GOOSEBURY,0,1,0,0
GORING,0,0,0,1
GOTHIC,0,0,1,0
GOULDING,0,0,0,1
GRADE,0,0,1,0
GRANDMOUND,0,0,0,1
GRASSLAND,0,0,0,1
GRASSVALLEY,0,0,0,1
GRASSYHOLLOW,0,0,1,0
GREEN CANYON,0,0,0,1
GREENOUGH,0,0,0,1
GREENPETER,0,0,0,1
GREENWICH,0,0,1,1
GREGSON,0,0,1,0
GREWINGK,0,0,1,0
GREYBEAR,0,0,1,1
GREYCLIFF,0,0,0,1
HALLET,0,0,1,0
GRIST MILL,0,0,1,1
GRITER,0,1,0,0
GROMMET,0,0,1,0
GROSSTOWN,0,0,1,1
GROUNDHOG,0,0,0,1
GROVECREEK,0,0,1,0
GRUBBS,0,0,0,1
GUALALA,1,0,1,1
GUFFEY,0,0,1,0
GUILDER,0,0,0,1
GULLROCK,0,0,0,1
GUNSONE,0,0,1,0
GUNSTON,0,0,1,1
GUYANDOTTE,0,0,1,0
HACKERS,0,0,1,1
HACKNEY,0,0,1,1
HAFLING,0,0,1,0
HAFMAU,0,0,1,0
HAGGARD,0,0,0,1
HAGSTADT,0,0,0,1
HAIGLER,0,0,1,1
HALCOTT,0,1,0,0
HALIFAX,0,0,1,1
HALLENTON,0,0,0,1
HAMMONTON,0,0,0,1
HANAKER,0,0,0,1
HANDKE,0,0,0,1
HANDSHOE,0,0,1,1
HANNING,0,0,1,1
HANSON,0,0,1,0
HEADWATERS,0,0,1,1
HARKERS,0,0,0,1
HARLAKE,0,0,1,0
HARLEM,0,0,0,1
HARSTINE,0,0,1,1
HARTLETON,0,0,1,1
HAUGAN,0,0,1,1
HATTONTOWN,0,0,1,1
HATU,1,0,0,0
HAUZ,0,0,0,1
HAVRE,0,0,0,1
HAW RIVER,0,0,0,1
HAXBY,0,0,1,0
HAZELAIR,0,0,1,0
HEDOES,0,0,1,0
HEDOX,0,0,0,1
HEDSTROM,0,0,0,1
HOLTER,0,0,1,0
MEGONOT,0,0,1,1
HEISKELL,0,0,1,1
MELDRIM,0,0,1,1
HELENA,0,0,1,1
HELMVILLE,0,0,1,0
HENDON,0,0,0,1
HENDRICKS,0,0,1,0
HENHOIT,0,0,0,1
HENLOPEN,0,0,1,1
HENNEBERRY,0,0,1,0
HERDCAMP,0,0,0,1
HERRING CREEK,0,0,0,1
IRELAND,0,0,1,1
HESPER,0,0,0,1
HEWOLF,0,0,1,1
HIBRITEN,0,0,1,1
HICKORYKNOB,0,0,1,1
HIDEAWAY,0,0,1,0
HIGHAMS,0,0,0,1
HILGER,0,0,1,1
HILINE,0,0,0,1
HILLERY,0,0,0,1
HILLON,0,0,1,1
HILMAR,0,0,0,1
HINGHAM,0,0,0,1
HINTERLAND,0,0,0,1
HISNA,0,0,0,1
HIVAL,0,0,1,0
HODGE,0,0,0,1
HOEHNE,0,0,1,0
HOGAN,0,0,0,1
HOGHEAVEN,0,0,0,1
HOGHOLE,0,0,1,1
HOGSBY,0,0,1,1
HOHMANN,0,0,0,1
HOLCOMB,0,0,1,1
HOLDERMAN,0,0,1,1
HOLLANDLAKE,0,0,0,1
HOLMDEL,0,0,1,1
HOMESTEAD,0,0,0,1
HONDU,0,0,1,0
